iter	Passed	Remaining
0	125	125075
1	128	63920
2	131	43536
3	133	33279
4	136	27150
5	139	23081
6	142	20194
7	145	18012
8	147	16296
9	151	14956
10	153	13840
11	157	12929
12	160	12149
13	162	11479
14	165	10888
15	168	10356
16	171	9903
17	173	9454
18	175	9046
19	177	8679
20	178	8328
21	180	8007
22	181	7713
23	182	7441
24	184	7188
25	185	6950
26	186	6733
27	188	6526
28	189	6333
29	190	6151
30	191	5977
31	192	5815
32	193	5663
33	194	5520
34	195	5383
35	196	5254
36	197	5135
37	198	5021
38	199	4912
39	200	4808
40	201	4710
41	202	4616
42	203	4526
43	204	4441
44	205	4359
45	206	4281
46	207	4206
47	208	4135
48	209	4068
49	210	4001
50	211	3936
51	212	3873
52	213	3812
53	214	3759
54	215	3703
55	216	3648
56	217	3595
57	218	3544
58	219	3495
59	220	3447
60	220	3400
61	221	3356
62	222	3313
63	223	3271
64	224	3230
65	225	3191
66	226	3153
67	226	3110
68	227	3074
69	228	3039
70	229	3005
71	230	2972
72	231	2940
73	232	2908
74	233	2877
75	234	2847
76	235	2818
77	236	2790
78	236	2762
79	237	2735
80	238	2708
81	239	2682
82	240	2657
83	241	2632
84	242	2605
85	242	2581
86	243	2555
87	244	2534
88	245	2512
89	246	2491
90	247	2470
91	248	2449
92	249	2429
93	250	2410
94	251	2391
95	251	2372
96	252	2354
97	253	2335
98	254	2317
99	255	2300
100	256	2283
101	256	2262
102	257	2245
103	258	2229
104	259	2214
105	260	2198
106	261	2183
107	262	2167
108	263	2153
109	264	2140
110	265	2127
111	266	2113
112	267	2100
113	268	2087
114	269	2074
115	270	2059
116	271	2046
117	272	2033
118	272	2019
119	273	2007
120	274	1995
121	275	1982
122	276	1967
123	276	1955
124	277	1943
125	278	1932
126	279	1921
127	280	1907
128	280	1897
129	281	1886
130	282	1876
131	283	1865
132	284	1854
133	285	1843
134	286	1832
135	286	1822
136	287	1812
137	288	1801
138	289	1790
139	289	1780
140	290	1769
141	291	1759
142	291	1748
143	292	1738
144	293	1729
145	293	1719
146	294	1709
147	295	1700
148	296	1691
149	296	1682
150	297	1673
151	298	1664
152	299	1655
153	299	1647
154	300	1638
155	301	1630
156	302	1621
157	302	1613
158	303	1605
159	304	1598
160	305	1590
161	305	1582
162	306	1574
163	307	1566
164	308	1558
165	308	1551
166	309	1543
167	310	1536
168	310	1528
169	311	1521
170	312	1514
171	313	1507
172	313	1500
173	314	1493
174	315	1486
175	315	1479
176	316	1472
177	317	1466
178	318	1460
179	319	1454
180	319	1446
181	320	1440
182	321	1435
183	322	1429
184	323	1423
185	324	1418
186	324	1412
187	325	1407
188	326	1401
189	327	1396
190	328	1390
191	329	1385
192	330	1380
193	331	1375
194	331	1370
195	332	1365
196	333	1360
197	334	1356
198	335	1351
199	336	1346
200	337	1341
